"","TP10","TP90","TN10","TN90","TNTP10","TNTP90","TEMP10","TEMP90","BioVol_mm3","Organism","Movement","Trophic","N_fixation","Silica","NIT10","NIT90","AMM10","AMM90","SIL10","SIL90","FRP10","FRP90","cluster","Clusters","Group"
"Acanthoceras",0.01,0.02,0.44,0.97,66.43,113.88,11.2,30.4,1.07e-06,"Individual","Passively","Photoautotrophic","Non_N_fixing","Silica",0.409,0.695,0.01,0.49,0,2.5345,0.003,0.009,"2","B","Bacilariophyta (Diatom)"
"Achnanthidium",0.02,0.03,0.66,0.84,26.97,68.21,16,27,1.49e-07,"Individual","Passively","Photoautotrophic","Non_N_fixing","Silica",0.02,0.3705,0.005,0.205,0.235,1.232,0.005,0.011,"1","D","Bacilariophyta (Diatom)"
"Achnanthes",0.02,0.07,0.52,1.78,31.32,109.58,21.5,29.3,1.46e-07,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.19,1.23,0.005,0.17,0,13.45,0.003,0.023,"2","B","Bacilariophyta (Diatom)"
"Actinastrum",0.03,0.03,0.54,1,36.38,62.64,11.2,30.4,9.59e-08,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.01,0.005,0.01,13.6,19.705,0.005,0.012,"4","A","Chlorophyta (Green algae)"
"Actinotaenium",0.02,0.04,0.51,0.79,35.23,56.74,13.9,24.84,2.95e-07,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.1,0.41,0.005,0.01,0,18.8,0.003,0.008,"4","A","Chlorophyta (Green algae)"
"Amphora",0.02,0.05,0.34,0.57,44.29,55.51,21.5,25.2,7.69e-07,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.01,0.19,0.005,0.03,0,39.45,0.005,0.017,"1","D","Bacilariophyta (Diatom)"
"Dolichospermum",0.03,0.04,0.34,3.84,40.03,55.76,16.79,23.71,1.46e-07,"Filamentous","Buoyancy","Photoautotrophic","N_fixing","Non_silica",0.005,0.12,0.005,0.01,13,21,0.003,0.0411,"4","A","Cyanophyta (Blue green)"
"Ankistrodesmus",0.01,0.01,0.41,0.51,29.76,41.71,12.1,15.2,1.08e-07,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.0645,0.181,0.01,0.02,0,1.2975,0.007,0.01,"4","A","Chlorophyta (Green algae)"
"Ankistrodesmus.falcatus",0.02,0.03,0.5,0.54,24.71,70.89,20.8,22.5,8.96e-08,"Colonial","Passively","Mixotrophic","Non_N_fixing","Non_silica",0.07,0.1355,0.03,0.05,0,18,0.008,0.015,"4","A","Chlorophyta (Green algae)"
"Ankyra",0.01,0.05,0.7,3.53,25.76,287.86,14.7,26.7,2.33e-07,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,2.4,0.005,0.03,0,31.9,0.006,0.015,"5","C","Chlorophyta (Green algae)"
"Aphanizomenon",0.02,0.04,0.36,0.89,36.59,64.1,13.7,24.16,1.36e-07,"Filamentous","Buoyancy","Photoautotrophic","N_fixing","Non_silica",0.005,0.193,0.005,0.04,15.5,44.9,0.005,0.014,"4","A","Cyanophyta (Blue green)"
"Aphanocapsa",0.01,0.06,0.64,0.68,21.78,73.81,16.29,21.46,1.58e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.19,0.61,0.005,0.01,0,14.6,0.007,0.016,"4","A","Cyanophyta (Blue green)"
"Aphanocapsa.incerta",0.03,0.06,0.31,0.83,31.48,53.36,21.4,26.35,1.31e-08,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.12,0.005,0.01,12.5,36.9,0.005,0.0162,"4","A","Cyanophyta (Blue green)"
"Anathece",0.02,0.02,0.58,0.67,51.67,64.45,15.6,26.1,2.82e-09,"Colonial","Buoyancy","Photoautotrophic","N_fixing","Non_silica",0.19,0.28,0.005,0.0155,0.3655,19.4,0.006,0.011,"4","A","Cyanophyta (Blue green)"
"Asterionella",0.01,0.06,0.66,1.15,35,76.1,13.2,20.1,1.95e-07,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Silica",0.13,0.92,0.005,0.02,0.09,45,0.005,0.01,"4","A","Bacilariophyta (Diatom)"
"Aulacoseira",0.02,0.02,0.46,0.5,34.14,114.69,15.4,23.3,9.08e-07,"Filamentous","Passively","Mixotrophic","Non_N_fixing","Silica",0.1,0.16,0.01,0.05,0,2.951,0.005,0.044,"2","B","Bacilariophyta (Diatom)"
"Bacillaria",0.03,0.03,0.7,0.78,49.6,74.17,15.2,19.3,1.23e-06,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Silica",0.005,0.39,0.005,0.01,14,26.6,0.005,0.02445,"4","A","Bacilariophyta (Diatom)"
"Bi.flagellate",0.01,0.01,0.36,0.4,51.39,65.48,20.78,25.91,9.57e-08,"Individual","Flagellar","Photoautotrophic","Non_N_fixing","Silica",0.005,1.39,0.005,0.011,4.669,30.85,0.004,0.009,"1","D","Bacilariophyta (Diatom)"
"Blue.green.sp",0.03,0.17,0.56,0.92,13.81,49.24,11.4,19.3,3.13e-09,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.38,0.565,0.01,0.04,4.47,50.015,0.007,0.053,"4","A","Cyanophyta (Blue green)"
"Botryococcus.sp1",0.02,0.07,0.29,0.82,38.4,80.6,21.3,23.5,1.35e-05,"Colonial","Passively","Mixotrophic","Non_N_fixing","Non_silica",0.06,0.2455,0.005,0.1805,3.054,16.85,0.005,0.029,"4","A","Chlorophyta (Green algae)"
"Botryococcus.sp2",0.03,0.07,0.35,0.81,24.59,46.24,14.9,27.6,0.000186596,"Colonial","Passively","Mixotrophic","Non_N_fixing","Non_silica",0.005,0.4,0.005,0.01,6.5345,16,0.004,0.009,"4","A","Chlorophyta (Green algae)"
"Carteria",0.01,0.04,0.33,3.6,18.44,228.26,11.8,16.5,5.47e-08,"Individual","Flagellar","Photoautotrophic","Non_N_fixing","Non_silica",0.29,2.5,0.005,0.605,7.65,23.12,0.0079,0.0125,"5","C","Chlorophyta (Green algae)"
"Ceratium",0.03,0.04,0.4,0.62,20.89,29.06,22.1,25.3,3.02e-05,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.01,0.04,0.005,0.02,0,0.85,0.009,0.015,"3","E","Dinophyta"
"Ceratium.furca",0.03,0.04,0.38,0.47,25.08,31.37,19.7,26.6,3.02e-05,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.04,0.12,0.005,0.06,0,0.37,0.008,0.018,"3","E","Dinophyta"
"Chaetoceros",0.02,0.03,0.38,0.43,31.72,40.88,21.4,24.6,1.81e-06,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Silica",0.06,0.11,0.01,0.02,0,0.235,0.01,0.014,"4","A","Bacilariophyta (Diatom)"
"Chlamydomonas",0.02,0.03,0.43,0.5,30.53,40.6,13.75,17.1,1.62e-07,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.07,0.15,0.01,0.51,0,1.5,0.006,0.018,"3","E","Chlorophyta (Green algae)"
"Chodatella",0.03,0.03,0.58,0.67,27.68,42.2,13.7,26.51,8.53e-08,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.01,0.005,0.01,14.885,21.105,0.006,0.008,"4","A","Chlorophyta (Green algae)"
"Chroococcus.sp1",0.01,0.04,0.34,3.75,27.53,52.47,22.8,27.4,7.67e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,2.6,0.005,0.01,26.25,42.75,0.007,0.011,"4","A","Cyanophyta (Blue green)"
"Chroococcus.sp2",0.02,0.04,0.3,0.86,31.41,46.18,12.4,26.75,1.8e-08,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.05,0.005,0.01,32.3,48.1,0.007,0.009,"4","A","Cyanophyta (Blue green)"
"Chroomonas",0.02,0.06,0.35,0.47,32.82,38.75,17.9,23.5,1.5e-07,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.03,0.43,0.005,0.14,0,0.25,0.0025,0.0202,"3","E","Cryptophyta"
"Closteriopsis",0.02,0.02,0.53,1.3,28.18,153.95,10.7,19.91,4.72e-06,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.93,0.005,0.09,9.1,48.1,0.007,0.015,"2","B","Chlorophyta (Green algae)"
"Closterium",0.01,0.09,0.64,3.57,27,288.94,13.2,23,1.61e-06,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.4235,2.8,0.005,0.48,0.0945,47.35,0.004,0.0208,"5","C","Chlorophyta (Green algae)"
"Blue.green.sp1",0.01,0.05,0.64,0.99,40.65,154.09,22.8,27.6,4.16e-10,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.1895,0.9405,0.01,0.04,0,6.6,0.007,0.011,"2","B","Cyanophyta (Blue green)"
"Cocconeis",0.02,0.07,0.32,0.51,26.57,69.84,23.4,30.3,1.36e-06,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.03,0.21,0.005,0.06,0,43.65,0.0059,0.0405,"1","D","Bacilariophyta (Diatom)"
"Coelastrum",0.02,0.03,0.56,0.65,48.94,60.44,22.2,25.11,1.66e-07,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.1,0.235,0.005,0.02,13.55,19.4,0.008,0.03805,"4","A","Chlorophyta (Green algae)"
"Coelosphaerium",0.01,0.04,0.33,0.6,33.48,79.35,19.15,26.26,1.23e-08,"Colonial","Buoyancy","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.2,0.005,0.01,9.695,42.2,0.003,0.012,"4","A","Cyanophyta (Blue green)"
"Coscinodiscus",0.03,0.04,0.3,1.1,33.51,38,11.3,25.4,2.24e-05,"Individual","Passively","Photoautotrophic","Non_N_fixing","Silica",0.005,0.04,0.005,0.04,13,20.605,0.006,0.008,"1","D","Bacilariophyta (Diatom)"
"Cosmarium",0.01,0.08,0.46,0.67,20.88,125.85,22.8,24.6,3.39e-06,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.1145,0.33,0.005,0.085,0,32.01,0.003,0.012,"2","B","Chlorophyta (Green algae)"
"Crucigenia",0.01,0.03,0.49,0.69,23.94,48.58,15.7,23.61,1.69e-07,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.14,0.38,0.01,0.03,0,1.911,0.008,0.015,"4","A","Chlorophyta (Green algae)"
"Cryptomonas",0.03,0.04,0.38,0.51,32.34,38.75,12.2,15.55,1.08e-06,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.01,0.04,0.01,0.02,0,1.14,0.007,0.014,"3","E","Cryptophyta"
"Cuspidothrix.issatschenkoi",0.03,0.03,0.28,0.59,32.72,48.24,23.3,26.6,4.06e-08,"Filamentous","Buoyancy","Photoautotrophic","N_fixing","Non_silica",0.005,0.01,0.005,0.01,7,17.805,0.006,0.026,"4","A","Cyanophyta (Blue green)"
"Cyanocatena",0.02,0.03,0.6,0.7,47.45,56.8,14.5,24.6,9.12e-10,"Filamentous","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.3,0.005,0.031,8.7,15.35,0.006,0.013,"4","A","Cyanophyta (Blue green)"
"Cyanodictyon",0.02,0.03,0.26,0.48,35.43,63.66,11.89,26.3,1.62e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.059,0.19,0.005,0.01,10.745,27,0.0045,0.011,"4","A","Cyanophyta (Blue green)"
"Cyanogranis",0.01,0.07,0.66,0.78,56.94,61.51,17.3,21.2,1.56e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.35,0.555,0.01,0.07,0,0.09,0.004,0.016,"4","A","Cyanophyta (Blue green)"
"Cyanonephron",0.02,0.02,0.64,0.72,56.8,69.92,18.8,24.8,4.12e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.19,0.36,0.005,0.02,0,18.705,0.01,0.011,"4","A","Cyanophyta (Blue green)"
"Cyclotella",0.02,0.02,0.31,0.69,61.95,112.32,17.4,27.1,1.03e-07,"Individual","Passively","Mixotrophic","Non_N_fixing","Silica",0.0445,0.645,0.06,0.205,8.795,13.2,0.007,0.011,"2","B","Bacilariophyta (Diatom)"
"Cyclotella.sp4",0.03,0.04,0.63,0.79,31.4,58.43,24.6,28.3,1.41e-05,"Individual","Passively","Mixotrophic","Non_N_fixing","Silica",0.005,0.35,0.02,0.5,11.89,20.4,0.003,0.008,"1","D","Bacilariophyta (Diatom)"
"Cylindrotheca.closterium",0.02,0.03,0.35,0.41,31.37,43.23,23.5,28.5,2.35e-07,"Individual","Mucilage","Mixotrophic","Non_N_fixing","Silica",0.005,0.13,0.005,0.24,0,0.095,0.007,0.013,"1","D","Bacilariophyta (Diatom)"
"Cymbella",0.01,0.02,0.37,0.46,16.42,127.19,23.1,26.2,6.67e-07,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.06,0.12,0.01,0.03,0.87,41.15,0.004,0.009,"2","B","Bacilariophyta (Diatom)"
"Diatoma",0.02,0.04,0.35,0.84,28.92,109.66,20,22,8.82e-08,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.005,0.64,0.005,0.02,0,37.35,0.004,0.008,"2","B","Bacilariophyta (Diatom)"
"Diceras",0.03,0.03,0.52,3.68,45.88,52.83,22,25.8,2.35e-07,"Individual","Flagellar","Photoautotrophic","Non_N_fixing","Silica",0.15,2.8,0.005,0.05,0.025,49,0.0035,0.0505,"1","D","Chrysophyta (Golden brown)"
"Dichotomococcus",0.01,0.04,0.42,1.59,32.77,257.6,13.19,26.9,7.5e-09,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,1.385,0.005,0.61,14.9,42.735,0.005,0.01255,"5","C","Chlorophyta (Green algae)"
"Dictyocha",0.02,0.04,0.25,0.4,36.15,41.48,14.2,24.96,4.54e-06,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Silica",0.01,0.07,0.005,0.01,0,0.25,0.009,0.017,"3","E","Chrysophyta (Golden brown)"
"Dictyosphaerium",0.02,0.12,0.46,0.61,36.9,53.91,12.8,21.9,2.03e-08,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.07,0.3205,0.01,0.03,0,0.885,0.007,0.009,"4","A","Chlorophyta (Green algae)"
"Dinobryon",0.03,0.03,0.66,0.91,36.9,75.92,14.9,19.2,8.18e-07,"Colonial","Passively","Mixotrophic","Non_N_fixing","Silica",0.09,0.54,0.005,0.51,0.07,2.9205,0.006,0.008,"4","A","Chrysophyta (Golden brown)"
"Diploneis.sp1",0.02,0.05,0.25,0.61,19.78,39.44,14.6,26.5,1.23e-06,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.005,0.07,0.005,0.03,10,29.2,0.006,0.017,"1","D","Bacilariophyta (Diatom)"
"Elakatothrix",0.02,0.03,0.35,1.27,51.28,71.67,12.9,26.7,1.22e-07,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,1.006,0.005,0.505,0,0.25,0.008,0.016,"4","A","Chlorophyta (Green algae)"
"Encyonema",0.01,0.02,0.34,0.52,18.56,232.36,12.5,27.8,7.78e-07,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.005,0.6,0.005,0.02,0,43.65,0.006,0.0245,"5","C","Bacilariophyta (Diatom)"
"Entomoneis",0.02,0.03,0.3,0.45,35.39,46.98,11.9,21.5,7.26e-08,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.06,0.371,0.005,0.255,8.095,13.4,0.004,0.0092,"1","D","Bacilariophyta (Diatom)"
"Eucampia",0.02,0.05,0.3,0.41,23.53,37.76,22.1,28.6,2.09e-06,"Colonial","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.005,0.05,0.005,0.01,0,0.19,0.009,0.022,"1","D","Bacilariophyta (Diatom)"
"Eudorina",0.01,0.05,0.36,3.16,15.37,228.16,12.5,27.55,2.65e-07,"Colonial","Flagellar","Photoautotrophic","Non_N_fixing","Non_silica",0.005,2.5,0.005,0.57,0.068,16.2,0.0025,0.012,"5","C","Chlorophyta (Green algae)"
"Euglena",0.02,0.06,0.9,1.01,20.91,69.68,18.6,22,3.36e-06,"Individual","Flagellar","Photoautotrophic","Non_N_fixing","Non_silica",0.32,1.05,0.005,0.082,0.188,13.9,0.007,0.034,"3","E","Euglenophyta (Euglenoid)"
"Eunotia",0.03,0.11,0.33,0.82,16.96,46.62,17.9,24.1,1.43e-07,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.05,0.35,0.005,0.02,23.3,40.1,0.006,0.018,"1","D","Bacilariophyta (Diatom)"
"Eunotia.sp1",0.02,0.04,0.34,0.68,58.68,76.85,19.3,30.1,7.25e-07,"Individual","Mucilage","Mixotrophic","Non_N_fixing","Silica",0.18,0.52,0.005,0.45,0,37.365,0.006,0.011,"1","D","Bacilariophyta (Diatom)"
"Eutreptiella",0.03,0.06,0.4,0.44,23.62,37.06,13.75,25.81,7.73e-07,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.02,0.14,0.01,0.07,0,0.3715,0.013,0.01805,"3","E","Euglenophyta (Euglenoid)"
"Fragilaria",0.01,0.1,0.33,0.81,62.4,94.11,13.19,25.56,3.44e-07,"Filamentous","Passively","Photoautotrophic","Non_N_fixing","Silica",0.21,0.36,0.005,0.3105,1.8765,44,0.005,0.02105,"2","B","Bacilariophyta (Diatom)"
"Golenkinia",0.02,0.04,0.44,1.37,27.18,59.06,10.65,26.55,1.56e-07,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.0455,0.005,0.02,13.5,48.55,0.003,0.009,"4","A","Chlorophyta (Green algae)"
"Gomphonema",0.01,0.03,0.33,3.64,52.04,74.62,12,21.9,2.75e-06,"Colonial","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.01,2.7,0.005,0.61,1.1625,45.3,0.005,0.009,"1","D","Bacilariophyta (Diatom)"
"Gonatozygon",0.03,0.11,0.43,1.01,21.42,43.36,10.9,27.2,1.73e-05,"Filamentous","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.42,0.005,0.6155,1.95,18.45,0.007,0.047,"4","A","Chlorophyta (Green algae)"
"Gonium",0.02,0.07,0.38,0.84,18.71,64.18,11.7,22.3,2.23e-07,"Colonial","Flagellar","Photoautotrophic","Non_N_fixing","Non_silica",0.01,0.525,0.005,0.58,0,33.855,0.004,0.025,"4","A","Chlorophyta (Green algae)"
"Green.algae.sp3",0.01,0.04,0.55,3.68,37.75,228.32,10.2,25.1,3.27e-08,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,2.8,0.005,0.08,0,25,0.011,0.03105,"5","C","Chlorophyta (Green algae)"
"Guinardia",0.01,0.03,0.25,0.39,36.61,44.29,14.6,24.6,1.35e-05,"Filamentous","Passively","Photoautotrophic","Non_N_fixing","Silica",0.01,0.05,0.005,0.01,0,0.235,0.004,0.022,"1","D","Bacilariophyta (Diatom)"
"Gymnodinium",0.02,0.02,0.33,0.54,20.64,74.95,12.1,28.3,9.33e-07,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.07,0.18,0.01,0.02,0,1.8,0.004,0.017,"3","E","Dinophyta"
"Gyrosigma",0.01,0.07,0.32,0.43,30.05,56.47,16.04,26.3,1.59e-05,"Individual","Mucilage","Photoautotrophic","Non_N_fixing","Silica",0.04,0.17,0.005,0.01,1.1935,43.21,0.005,0.048,"1","D","Bacilariophyta (Diatom)"
"Katodinium",0.03,0.03,0.32,0.48,33.95,41.01,14.3,27.02,1.83e-07,"Individual","Flagellar","Mixotrophic","Non_N_fixing","Non_silica",0.03,0.08,0.01,0.02,0,0.235,0.005,0.014,"3","E","Dinophyta"
"Kirchneriella",0.01,0.04,0.43,0.63,53.68,71.7,16.35,28.01,2.51e-08,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.1,0.44,0.01,0.02,0,16.01,0.008,0.009,"4","A","Chlorophyta (Green algae)"
"Lagerheimia",0.02,0.03,0.3,0.39,27.22,73.21,19.2,26.6,1.02e-06,"Individual","Passively","Photoautotrophic","Non_N_fixing","Non_silica",0.005,0.1,0.005,0.05,0,38.6,0.006,0.018,"4","A","Chlorophyta (Green algae)"
"Leptocylindrus",0.02,0.03,0.35,0.46,25.98,38.44,19.7,24.5,1.53e-06,"Colonial","Passively","Photoautotrophic","Non_N_fixing","Silica",0.02,0.07,0.01,0.02,0,0.37,0.007,0.009,"4","A","Bacilariophyta (Diatom)"
"Limnothrix",0.01,0.09,0.44,0.54,19.64,71.7,17.25,25.2,1.16e-08,"Filamentous","Buoyancy","Photoautotrophic","Non_N_fixing","Non_silica",0.06,0.3,0.005,0.04,0.739,45,0.004,0.011,"4","A","Cyanophyta (Blue green)"
