,TP10,TP90,TN10,TN90,TN_TP10,TN_TP90,TEMP10,TEMP90,BioVol_mm3,Organism,Movement,Trophic,N_fixation,Silica,AMM10,AMM90,NIT10,NIT90,SIL10,SIL90,cluster,Clusters,Group,SAL10,SAL90,TURB10,TURB90,FRP10,FRP90
Mallomonas.akrokomos,0.02,0.04,0.54,0.72,37.96,59.79,15.2,16.4,8.98E-08,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Silica,0.01,0.6055,0.18,0.41,0.09,18.33,1,D,Chrysophyta (Golden brown),0.070223962,0.09164,0,5.4255,0.004,0.0515
Mallomonas.sp1,0.01,0.02,0.45,0.55,27.88,41.91,12.1,16.05,4.55E-07,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Silica,0.01,0.45,0.1,0.18,0.8545,2.5905,3,E,Chrysophyta (Golden brown),0.070516886,0.16835,1.91,3.8255,0.006,0.016
Mallomonas.splendens,0.02,0.04,0.42,0.57,14.76,68.36,15.2,24.6,1.28E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Silica,0.01,0.51,0.11,0.17,1.09,44.105,1,D,Chrysophyta (Golden brown),0.0303,0.1932772,1.8495,8.01,0.004,0.0491
Melosira,0.02,0.02,0.2945,0.42,39.17,49.74,13.7,26.6,8.25E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Silica,0.005,0.04,0.05,0.19,0,23.9,5,A,Bacilariophyta (Diatom),0.78653,2.269,0,57.95,0.005,0.015
Merismopedia,0.02,0.03,0.65,1.08,37.81,53.79,22.8,25.4,4.24E-10,Colonial,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.23,0.005,0.411,1.107,19.35,5,A,Cyanophyta (Blue green),0.144842165,0.75785,3.39,8.59,0.003,0.016
Merotrichia,0.02,0.07,0.44,3.6,60.05,71.65,14.48,26.71,6.74E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.06,0.15,2.8,0,1.2215,3,E,Chloromonadophyta,0,0.07025,0,2.9015,0.006,0.035
Micractinium,0.02,0.03,0.4545,0.56,60.65,65.52,13.8,30.4,1.39E-08,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.2355,0.06,0.77,14.295,23.21,5,A,Chlorophyta (Green algae),0.04363,0.22836113,4.26,6.4715,0.0035,0.011
Micrasterias,0.02,0.04,0.46,0.77,22.14,76.49,15.35,27.4,6.16E-05,Individual,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.02,0.005,0.44,23.1,32.45,5,A,Chlorophyta (Green algae),0,0.427285,0,26,0.004,0.009
Microcystis.wesenbergii,0.02,0.03,0.47,0.88,33.56,44.29,12.6,26.2,1.62E-07,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.01,14,20.4,5,A,Cyanophyta (Blue green),0.1163,0.1746013,5,8.3,0.007,0.029
Monoflagellate.sp1,0.01,0.03,0.43,1.11,40.74,109.69,15.55,20.4,1.46E-07,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.005,0.935,0,25.855,4,B,Other,0,0.2179163,4.5,6.1005,0.005,0.009
Monoflagellate.sp3,0.01,0.02,0.25,1.245,76.92,223.64,10.3,20.3,2.01E-07,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.005,1.01,0.09,41.15,2,C,Other,0,1.71681,0,7.3565,0.004,0.009
Monoflagellate.sp4,0.01,0.02,0.63,0.851,88.57,112.65,13,18.6,1.48E-07,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.08,0.36,0.5555,0,45.9,4,B,Other,0.11316024,0.151326755,0,1.125,0.005,0.03305
Mougeotia,0.01,0.05,0.3,0.59,32.92,37.8,23.3,26.3,2.57E-06,Filamentous,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.05,14.9,21.7,5,A,Chlorophyta (Green algae),0.086311315,0.2012771,1.337,3.985,0.006,0.008
Navicula,0.02,0.03,0.33,0.42,52.4,95.77,18.9,22.11,4.07E-07,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Silica,0.005,0.205,0.05,1.4,5.2,8,4,B,Bacilariophyta (Diatom),0.140242295,0.180501725,3.19,8.977,0.005,0.012
Navicula.sp1,0.01,0.03,0.29,0.53,16.78,44.85,14.2,25,4.29E-07,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.12,0.02,0.161,0,2.63,3,E,Bacilariophyta (Diatom),0,0.0817,0,2.23,0.007,0.019
Nephrocytium,0.01,0.11,0.58,3.525,32.81,291.55,17.7,30.41,8.52E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.18,0.129,2.3,0,9.555,2,C,Chlorophyta (Green algae),0,0.14148872,3.8975,90.4,0.0035,0.048
Nitzschia,0.02,0.03,0.29,1.055,33.81,52.95,12.8,30.3,3.52E-07,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Silica,0.005,0.04,0.005,0.175,7.995,13.8,1,D,Bacilariophyta (Diatom),0.145299255,0.190096305,5.3,9.8,0.0045,0.018
Nostocaceae,0.02,0.06,0.38,0.5,29.78,34.22,20.6,28,1.17E-07,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.01,0.005,0.02,0,11.9,5,A,Cyanophyta (Blue green),0.116825725,0.192928405,0,32.43,0.004,0.023
Oocystis,0.01,0.03,0.38,0.53,22.14,48.48,12.4,28.7,2.47E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.51,0.07,0.14,0,14.3,5,A,Chlorophyta (Green algae),0.085453313,0.13708335,2.89,7.049,0.007,0.009
Pandorina,0.01,0.07,0.68,0.87,41.86,103.85,9.69,26.3,1.68E-07,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.33,1.5555,0.1,50,4,B,Chlorophyta (Green algae),0,0.3082549,0,10.8,0.006,0.014
Pediastrum,0.02,0.03,0.47,0.702,39.43,56.94,21.3,23,2.50E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.02,0.005,0.16,10.9,16.25,5,A,Chlorophyta (Green algae),0.134293835,0.172935235,7.2,9.5665,0.009,0.012
Peridinium.sp1,0.02,0.04,0.35,2.78,30.49,173.35,11.1,29,3.25E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.58,0.005,1.3755,9.5,26.01,4,B,Dinophyta,0.0966,0.160168235,5.315,7.4405,0.004,0.01905
Peridinium.sp2,0.02,0.03,0.41,1.4605,19.83,55.8,21.3,25.4,3.52E-05,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.58,0.005,1.05,0,44,3,E,Dinophyta,0,4.7335,0,40.5,0.006,0.03755
Phacus,0.02,0.07,0.54,1.7615,19.72,92.07,10.2,22.6,5.64E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.01,2.8,0,36.2,1,D,Euglenophyta (Euglenoid),0.0864,0.160143805,0,8.65,0.006,0.033
Pinnularia,0.03,0.06,0.34,1.54,26.31,76.02,11.9,23.4,3.23E-07,Individual,Mucilage,Photoautotrophic,Non_N_fixing,Silica,0.005,0.06,0.04,1.0915,0,43.1,1,D,Bacilariophyta (Diatom),0.08075,1.175,8.3,13.8,0.006,0.011
Planctonema,0.03,0.03,0.255,0.54,33.8,46.15,24.2,26.6,1.09E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.06,10.8,19.5,5,A,Chlorophyta (Green algae),0.15389099,0.1799597,4.5275,9.3,0.00745,0.012
Planktolyngbya,0.01,0.13,0.54,0.67,33.43,57.44,20.6,26.3,7.23E-08,Filamentous,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.05,0.19,8.25,27,5,A,Cyanophyta (Blue green),0,0.45599708,0.373,7.445,0.003,0.02155
Pleurosigma,0.02,0.04,0.35,0.39,33.43,48.71,14.1,28.4,4.09E-06,Individual,Mucilage,Photoautotrophic,Non_N_fixing,Silica,0.005,0.02,0.06,0.09,0,0.25,1,D,Bacilariophyta (Diatom),0,1.1889,0,0.902,0.004,0.011
Protoperidinium,0.02,0.03,0.38,0.46,25.94,39.08,18.4,22.86,7.53E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.02,0.07,0,0.3865,3,E,Dinophyta,0,0.0666,0,1.37,0.008,0.015
Pseudanabaena,0.01,0.02,0.47,1.385,27.88,95.59,10.7,26,8.57E-09,Colonial,Passively,Photoautotrophic,N_fixing,Non_silica,0.005,0.01,0.18,1.01,0.385,19.6,4,B,Cyanophyta (Blue green),0,0.79,4.6,6.3,0.006,0.008
Pseudanabaena.mucicola,0.03,0.03,0.28,0.681,32.42,44.29,14.65,24.3,1.19E-08,Colonial,Passively,Photoautotrophic,N_fixing,Non_silica,0.005,0.01,0.005,0.09,19.4,29.62,5,A,Cyanophyta (Blue green),0.10589899,0.1799194,5.4095,9.5,0.007,0.009
Pyramimonas,0.02,0.03,0.41,0.49,38.41,50.33,13.35,23.73,3.98E-07,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.07,0.14,0,0.3715,3,E,Chlorophyta (Green algae),0,0.068,0,1.57,0.00895,0.015
Rhabdoderma,0.02,0.05,0.45,1.275,43.95,126.94,24.9,28.65,5.70E-09,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.08,0.04,1,8.745,36.9,4,B,Cyanophyta (Blue green),0,1.28385,0,36.22,0.005,0.038
Romeria,0.01,0.03,0.52,0.995,39.1,145.51,20.35,21.8,5.33E-09,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.51,0.34,0.73,0,9.1,4,B,Cyanophyta (Blue green),0.0813,1.5753,3.3,4.4,0.006,0.009
Scenedesmus,0.01,0.03,0.599,2.78,44.94,63.3,13.2,26.75,2.51E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.13,0.21,2.065,0,0.22,5,A,Chlorophyta (Green algae),0,0.078069855,0,1.102,0.004,0.0355
Scenedesmus.sp1,0.01,0.03,0.39,0.78,44.29,56.41,26.5,27.5,1.11E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.11,0.51,4.67,6.855,5,A,Chlorophyta (Green algae),0,0.2222708,0,35.8,0.007,0.009
Scenedesmus.sp2,0.03,0.05,0.42,0.86,19.51,38.12,23.1,29.5,2.83E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.2055,0.005,0.44,13.395,36.9,5,A,Chlorophyta (Green algae),0,0.1543808,0,35.6,0.007,0.0355
Schroederia,0.02,0.06,0.5,1.27,26.08,136.43,16.35,28.2,5.66E-07,Individual,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.115,0.005,1.39,20.445,26.15,4,B,Chlorophyta (Green algae),0,0.2898463,2.384,13.865,0.006,0.017
Scrippsiella,0.02,0.03,0.3995,0.49,25.73,38.94,18.4,23.7,2.32E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.0295,0.15,0,0.44,3,E,Dinophyta,0,0.06705,0,1.455,0.008,0.01355
Selenastrum,0.02,0.1,0.46,1.32,27.68,74.48,11.8,28.3,2.59E-07,Colonial,Passively,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.05,0.005,0.51,1.96,8.9,5,A,Chlorophyta (Green algae),0,0.1491088,3.089,16,0.006,0.044
Skeletonema,0.02,0.03,0.36,0.41,38.75,52.38,11.85,24.3,6.16E-08,Filamentous,Passively,Mixotrophic,Non_N_fixing,Silica,0.01,0.02,0.04,0.09,0,1.09,3,E,Bacilariophyta (Diatom),0.3577997,1.253,0,9.849,0.008,0.014
Skeletonema.costatum,0.02,0.05,0.25,0.42,17.06,40.05,15.3,25.1,1.81E-07,Filamentous,Passively,Mixotrophic,Non_N_fixing,Silica,0.005,0.02,0.07,0.21,0,7.965,3,E,Bacilariophyta (Diatom),0,3.285,0,19.555,0.004,0.0165
Snowella,0.01,0.05,0.46,1.02,43.49,232.37,23.2,26.4,8.52E-09,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.119,0.42,16.235,29.2,2,C,Cyanophyta (Blue green),0,0.147,3.58,39,0.007,0.036
Snowella.lacustris,0.01,0.01,0.335,1.24,52.99,189.96,21.6,24.81,2.50E-08,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.04,0.005,1.965,2.5945,50.15,2,C,Cyanophyta (Blue green),0,0.17276617,0,24,0.007,0.012
Spermatozopsis,0.02,0.06,0.39,1.07,22.55,116.85,18.9,23.2,7.45E-08,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.435,0.005,0.57,0,23.65,4,B,Chlorophyta (Green algae),0,0.13788289,0,79.5,0.006,0.009
Sphaerocystis,0.02,0.03,0.66,0.84,54.92,96.97,17.3,21.1,6.55E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.02,0.19,0.3955,0,17.9,4,B,Chlorophyta (Green algae),0,0.08635038,2.8535,4.6,0.007,0.012
Spirogyra,0.02,0.03,0.4,0.52,25.51,46.88,23.4,27.2,6.56E-05,Filamentous,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.04,17.8,32.2,5,A,Chlorophyta (Green algae),0,0.230100765,0,12.25,0.006,0.009
Spondylosium,0.02,0.03,1.009,1.27,74.83,103.34,10.7,26.7,2.90E-07,Filamentous,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.08,0.73,0.9155,0,26.155,4,B,Chlorophyta (Green algae),0,0.0808,0,5.4,0.005,0.007
Staurastrum,0.02,0.02,0.62,0.7,49.73,69.38,20.1,26.1,3.53E-06,Individual,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.02,0.18,0.25,8.395,17.9,5,A,Chlorophyta (Green algae),0,0.1073392,3,3.831,0.007,0.009
Staurodesmus,0.01,0.05,0.34,0.8,33.19,118.84,13.79,25.4,2.06E-07,Individual,Passively,Mixotrophic,Non_N_fixing,Non_silica,0.005,0.505,0.029,0.13,2.3,24.61,4,B,Chlorophyta (Green algae),0.079605,4.61715,3.19,4.6,0.005,0.009
Stichococcus.sp1,0.02,0.04,0.489,0.77,44.29,68.01,15.2,20.8,1.30E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.04,0.209,0.46,0,11.395,5,A,Chlorophyta (Green algae),0,1.35925,0,8.465,0.0025,0.01
Stichococcus.sp2,0.02,0.03,0.44,0.66,44.29,56.21,9.35,20.1,2.49E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.0555,0.09,0.25,0.7695,17,5,A,Chlorophyta (Green algae),0,0.15445772,4.295,12,0.006,0.02
Strombomonas,0.02,0.05,0.51,0.98,39.01,74.48,20.4,21.8,1.87E-07,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.07,1.571,0,49.55,1,D,Euglenophyta (Euglenoid),0,0.36383475,1.915,22,0.009,0.0151
Surirella,0.02,0.1,0.29,0.41,30.3,43.57,14.45,28.73,2.47E-05,Individual,Mucilage,Photoautotrophic,Non_N_fixing,Silica,0.005,0.15,0.005,0.18,0,25.805,1,D,Bacilariophyta (Diatom),0.349716385,1.005865,0,9.203,0.002,0.0415
Synedra,0.02,0.03,0.42,1.5455,34.22,47.05,12.4,16.76,5.47E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Silica,0.005,0.335,0.06,0.95,0,0.9315,5,A,Bacilariophyta (Diatom),0.37238715,1.1905,1.8835,10,0.006,0.008
Synura,0.01,0.06,0.72,0.9,34.65,123.57,14,16,3.28E-07,Colonial,Flagellar,Mixotrophic,Non_N_fixing,Silica,0.005,0.6,0.22,0.54,0,0.87,4,B,Chrysophyta (Golden brown),0,0.08545,0,1.9155,0.004,0.0175
T.Anabaena.circinalis,0.03,0.05,1.9495,3.52,32.85,287.86,21.8,23.85,1.22E-07,Filamentous,Buoyancy,Mixotrophic,N_fixing,Non_silica,0.005,0.01,0.005,2.2,13.6,31.715,2,C,Cyanophyta (Blue green),0.138748955,0.222424255,8.475,26,0.004,0.017
T.Anabaenopsis,0.03,0.04,0.53,0.66,32.01,42.49,23.4,26.6,1.41E-07,Colonial,Buoyancy,Mixotrophic,N_fixing,Non_silica,0.005,0.01,0.005,0.09,17.3,36.3,5,A,Cyanophyta (Blue green),0.1925239,0.2187138,7.363,11,0.006,0.012
T.Chrysochromulina,0.03,0.07,0.64,0.66,24.67,130.85,18.05,22.1,4.25E-08,Individual,Flagellar,Mixotrophic,Non_N_fixing,Silica,0.005,0.04,0.16,0.21,0,9.1,4,B,Chrysophyta (Golden brown),0,0.148815,6.1045,12.145,0.007,0.01
T.Cylindrospermopsis,0.02,0.03,0.44,3.75,32.7,225.76,24,27,9.71E-08,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.01,0.005,2.8,13.4,32.155,2,C,Cyanophyta (Blue green),0,0.2301108,5.2,12.015,0.005,0.007
T.Cylindrospermopsis.raciborskii,0.03,0.04,0.48,0.775,40.88,48.9,17.05,24.8,9.83E-08,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.03,0.24,0.27,3.065,3.86,5,A,Cyanophyta (Blue green),0,0.14354591,7.459,10.7,0.008,0.01155
T.Dolichospermum,0.01,0.03,0.32,0.86,26.78,84.14,17.9,30.2,9.24E-08,Colonial,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.51,0.005,1.17,0,0.6035,5,A,Cyanophyta (Blue green),0,0.20578272,0,1.1915,0.006,0.009
T.Heterocapsa,0.03,0.11,0.4,0.45,27.49,32.02,22.1,23.6,3.26E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.03,0.07,0,0.37,3,E,Dinophyta,0,0.06982,0,1.22,0.009,0.017
T.Microcystis,0.02,0.04,0.47,0.92,41.27,54.11,21.3,24,2.43E-08,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.171,11.05,17.7,5,A,Cyanophyta (Blue green),0.1324,0.17655827,5.4335,9.404,0.005,0.0091
T.Microcystis.aeruginosa,0.01,0.04,0.34,0.554,31.38,37.48,22.9,26.1,2.47E-08,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.11,11.8,19.555,5,A,Cyanophyta (Blue green),0,0.1324062,4.0945,9.63,0.006,0.042
T.Oscillatoria,0.05,0.09,0.77,3.61,17.06,175.83,10.2,27.1,4.98E-07,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.161,0.11,2.165,32.745,39.7,4,B,Cyanophyta (Blue green),0.1200762,0.19937876,0,14,0.007,0.01705
T.Phormidium,0.01,0.1,0.4,3.687,16.32,161.84,11.9,28.35,6.56E-09,Colonial,Buoyancy,Photoautotrophic,N_fixing,Non_silica,0.005,0.04,0.02,2.8,0,41.8,4,B,Cyanophyta (Blue green),0,0.20693755,0,35.1,0.007,0.042
T.Planktothrix,0.03,0.07,0.628,3.92,31.7,37.83,10.3,30.3,3.45E-07,Filamentous,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.03,0.15,2.95,12.7,36.6,5,A,Cyanophyta (Blue green),0.14099611,1.51105,0,33.05,0.006,0.012
T.Prorocentrum,0.02,0.09,0.36,0.44,23.66,34.19,15.8,23.9,3.48E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.01,0.0705,0,0.385,3,E,Dinophyta,0,0.068,0,1.37,0.009,0.014
T.Prorocentrum.minimum,0.02,0.03,0.42,0.52,34.79,42.16,12.8,23.7,1.91E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica,0.01,0.02,0.06,0.08,0,0.5,3,E,Dinophyta,0,0.070725,0,1.48,0.007,0.014
T.Pseudo.nitzschia.seriata.complex,0.02,0.04,0.36,0.42,20.7,32.69,22.1,28.35,3.77E-06,Colonial,Mucilage,Photoautotrophic,Non_N_fixing,Silica,0.01,0.615,0.005,0.07,0,0.28,5,A,Bacilariophyta (Diatom),0,0.06843443,0,1.17,0.011,0.023
T.Pseudonitzshia.cf,0.02,0.03,0.33,0.45,24.1,37.59,18.6,25.91,4.22E-07,Colonial,Mucilage,Mixotrophic,Non_N_fixing,Silica,0.01,0.02,0.02,0.08,0,0.25,3,E,Bacilariophyta (Diatom),0,0.06431609,0,1.301,0.007,0.017
Tabellaria,0.01,0.02,0.38,0.86,57.19,155,11.8,19.3,2.41E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Silica,0.005,0.01,0.005,0.54,1.27,39.715,4,B,Bacilariophyta (Diatom),0.063805,0.12892359,0,8.3,0.004,0.007
Tetraedron,0.01,0.04,0.33,1.09,33.21,117.95,21,27,9.09E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.02,0.05,1.386,5.1,23.255,4,B,Chlorophyta (Green algae),0,0.283442955,0,27.95,0.007,0.009
Tetrastrum,0.03,0.03,0.329,1.303,34.52,44.29,22.7,27.76,1.69E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.01,0.005,0.01,11.3,18.645,5,A,Chlorophyta (Green algae),0.131359,0.1577411,6.649,9.38,0.00595,0.014
Thalassionema,0.02,0.04,0.3945,0.44,20.86,37.77,9.1,28.4,7.57E-07,Colonial,Mucilage,Photoautotrophic,Non_N_fixing,Silica,0.01,0.02,0.05,0.12,0,0.37,5,A,Bacilariophyta (Diatom),0,0.0813,0,1.481,0.01,0.017
Thalassiosira,0.03,0.03,0.3,0.4,40.21,45.11,12.1,22.72,1.54E-07,Individual,Passively,Mixotrophic,Non_N_fixing,Silica,0.005,0.26,0.02,0.08,0.82,1.5025,3,E,Bacilariophyta (Diatom),0.1765341,0.2100512,7.609,10.25,0.007,0.011
Thalassiosira.sp1,0.02,0.06,0.44,0.54,26.09,43.54,25.6,28,3.45E-08,Colonial,Passively,Mixotrophic,Non_N_fixing,Silica,0.005,0.03,0.01,0.14,0,19.855,5,A,Bacilariophyta (Diatom),0,3.90505,0,39,0.0025,0.0162
Trachelomonas,0.02,0.09,1.35,3.525,26.55,68.44,19.3,21.6,1.02E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica,0.01,0.03,0.01,2.065,0,1.2355,3,E,Euglenophyta (Euglenoid),0,0.563,0,6.2215,0.005,0.0505
Treubaria,0.01,0.03,0.549,1.995,18.52,79.08,21.2,26.2,3.76E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica,0.005,0.05,0.18,2.8,0,3.235,5,A,Chlorophyta (Green algae),0,0.140982,2.681,79.5,0.003,0.015
